Ethnicity,Gender,GPA,ACT Score,Household Income,Urban or Rural,Public or Private,Class Rank,Decision
White,Male,3.4,32,$40000,Urban,Public School,Top 5%,REJECT
White,Male,3.4,32,$40000,Urban,Public School,Top 15%,REJECT
White,Male,3.4,32,$40000,Urban,Private School,Top 5%,REJECT
White,Male,3.4,32,$40000,Urban,Private School,Top 15%,REJECT
White,Male,3.4,32,$40000,Rural,Public School,Top 5%,REJECT
White,Male,3.4,32,$40000,Rural,Public School,Top 15%,REJECT
White,Male,3.4,32,$40000,Rural,Private School,Top 5%,REJECT
White,Male,3.4,32,$40000,Rural,Private School,Top 15%,REJECT
White,Male,3.4,32,$160000,Urban,Public School,Top 5%,REJECT
White,Male,3.4,32,$160000,Urban,Public School,Top 15%,REJECT
White,Male,3.4,32,$160000,Urban,Private School,Top 5%,REJECT
White,Male,3.4,32,$160000,Urban,Private School,Top 15%,REJECT
White,Male,3.4,32,$160000,Rural,Public School,Top 5%,REJECT
White,Male,3.4,32,$160000,Rural,Public School,Top 15%,REJECT
White,Male,3.4,32,$160000,Rural,Private School,Top 5%,REJECT
White,Male,3.4,32,$160000,Rural,Private School,Top 15%,REJECT
White,Male,3.4,36,$40000,Urban,Public School,Top 5%,ADMIT
White,Male,3.4,36,$40000,Urban,Public School,Top 15%,REJECT
White,Male,3.4,36,$40000,Urban,Private School,Top 5%,ADMIT
White,Male,3.4,36,$40000,Urban,Private School,Top 15%,ADMIT
White,Male,3.4,36,$40000,Rural,Public School,Top 5%,ADMIT
White,Male,3.4,36,$40000,Rural,Public School,Top 15%,ADMIT
White,Male,3.4,36,$40000,Rural,Private School,Top 5%,ADMIT
White,Male,3.4,36,$40000,Rural,Private School,Top 15%,ADMIT
White,Male,3.4,36,$160000,Urban,Public School,Top 5%,ADMIT
White,Male,3.4,36,$160000,Urban,Public School,Top 15%,REJECT
White,Male,3.4,36,$160000,Urban,Private School,Top 5%,ADMIT
White,Male,3.4,36,$160000,Urban,Private School,Top 15%,REJECT
White,Male,3.4,36,$160000,Rural,Public School,Top 5%,ADMIT
White,Male,3.4,36,$160000,Rural,Public School,Top 15%,ADMIT
White,Male,3.4,36,$160000,Rural,Private School,Top 5%,ADMIT
White,Male,3.4,36,$160000,Rural,Private School,Top 15%,REJECT
White,Male,3.8,32,$40000,Urban,Public School,Top 5%,REJECT
White,Male,3.8,32,$40000,Urban,Public School,Top 15%,REJECT
White,Male,3.8,32,$40000,Urban,Private School,Top 5%,ADMIT
White,Male,3.8,32,$40000,Urban,Private School,Top 15%,REJECT
White,Male,3.8,32,$40000,Rural,Public School,Top 5%,ADMIT
White,Male,3.8,32,$40000,Rural,Public School,Top 15%,REJECT
White,Male,3.8,32,$40000,Rural,Private School,Top 5%,ADMIT
White,Male,3.8,32,$40000,Rural,Private School,Top 15%,REJECT
White,Male,3.8,32,$160000,Urban,Public School,Top 5%,ADMIT
White,Male,3.8,32,$160000,Urban,Public School,Top 15%,REJECT
White,Male,3.8,32,$160000,Urban,Private School,Top 5%,ADMIT
White,Male,3.8,32,$160000,Urban,Private School,Top 15%,REJECT
White,Male,3.8,32,$160000,Rural,Public School,Top 5%,ADMIT
White,Male,3.8,32,$160000,Rural,Public School,Top 15%,REJECT
White,Male,3.8,32,$160000,Rural,Private School,Top 5%,ADMIT
White,Male,3.8,32,$160000,Rural,Private School,Top 15%,REJECT
White,Male,3.8,36,$40000,Urban,Public School,Top 5%,ADMIT
White,Male,3.8,36,$40000,Urban,Public School,Top 15%,ADMIT
White,Male,3.8,36,$40000,Urban,Private School,Top 5%,ADMIT
White,Male,3.8,36,$40000,Urban,Private School,Top 15%,ADMIT
White,Male,3.8,36,$40000,Rural,Public School,Top 5%,ADMIT
White,Male,3.8,36,$40000,Rural,Public School,Top 15%,ADMIT
White,Male,3.8,36,$40000,Rural,Private School,Top 5%,ADMIT
White,Male,3.8,36,$40000,Rural,Private School,Top 15%,ADMIT
White,Male,3.8,36,$160000,Urban,Public School,Top 5%,ADMIT
White,Male,3.8,36,$160000,Urban,Public School,Top 15%,ADMIT
White,Male,3.8,36,$160000,Urban,Private School,Top 5%,ADMIT
White,Male,3.8,36,$160000,Urban,Private School,Top 15%,ADMIT
White,Male,3.8,36,$160000,Rural,Public School,Top 5%,ADMIT
White,Male,3.8,36,$160000,Rural,Public School,Top 15%,ADMIT
White,Male,3.8,36,$160000,Rural,Private School,Top 5%,ADMIT
White,Male,3.8,36,$160000,Rural,Private School,Top 15%,ADMIT
White,Female,3.4,32,$40000,Urban,Public School,Top 5%,REJECT
White,Female,3.4,32,$40000,Urban,Public School,Top 15%,REJECT
White,Female,3.4,32,$40000,Urban,Private School,Top 5%,REJECT
White,Female,3.4,32,$40000,Urban,Private School,Top 15%,REJECT
White,Female,3.4,32,$40000,Rural,Public School,Top 5%,ADMIT
White,Female,3.4,32,$40000,Rural,Public School,Top 15%,REJECT
White,Female,3.4,32,$40000,Rural,Private School,Top 5%,ADMIT
White,Female,3.4,32,$40000,Rural,Private School,Top 15%,REJECT
White,Female,3.4,32,$160000,Urban,Public School,Top 5%,REJECT
White,Female,3.4,32,$160000,Urban,Public School,Top 15%,REJECT
White,Female,3.4,32,$160000,Urban,Private School,Top 5%,REJECT
White,Female,3.4,32,$160000,Urban,Private School,Top 15%,REJECT
White,Female,3.4,32,$160000,Rural,Public School,Top 5%,REJECT
White,Female,3.4,32,$160000,Rural,Public School,Top 15%,REJECT
White,Female,3.4,32,$160000,Rural,Private School,Top 5%,REJECT
White,Female,3.4,32,$160000,Rural,Private School,Top 15%,REJECT
White,Female,3.4,36,$40000,Urban,Public School,Top 5%,ADMIT
White,Female,3.4,36,$40000,Urban,Public School,Top 15%,ADMIT
White,Female,3.4,36,$40000,Urban,Private School,Top 5%,ADMIT
White,Female,3.4,36,$40000,Urban,Private School,Top 15%,ADMIT
White,Female,3.4,36,$40000,Rural,Public School,Top 5%,ADMIT
White,Female,3.4,36,$40000,Rural,Public School,Top 15%,ADMIT
White,Female,3.4,36,$40000,Rural,Private School,Top 5%,ADMIT
White,Female,3.4,36,$40000,Rural,Private School,Top 15%,ADMIT
White,Female,3.4,36,$160000,Urban,Public School,Top 5%,ADMIT
White,Female,3.4,36,$160000,Urban,Public School,Top 15%,ADMIT
White,Female,3.4,36,$160000,Urban,Private School,Top 5%,ADMIT
White,Female,3.4,36,$160000,Urban,Private School,Top 15%,ADMIT
White,Female,3.4,36,$160000,Rural,Public School,Top 5%,ADMIT
White,Female,3.4,36,$160000,Rural,Public School,Top 15%,ADMIT
White,Female,3.4,36,$160000,Rural,Private School,Top 5%,ADMIT
White,Female,3.4,36,$160000,Rural,Private School,Top 15%,ADMIT
White,Female,3.8,32,$40000,Urban,Public School,Top 5%,ADMIT
White,Female,3.8,32,$40000,Urban,Public School,Top 15%,REJECT
White,Female,3.8,32,$40000,Urban,Private School,Top 5%,ADMIT
White,Female,3.8,32,$40000,Urban,Private School,Top 15%,REJECT
White,Female,3.8,32,$40000,Rural,Public School,Top 5%,ADMIT
White,Female,3.8,32,$40000,Rural,Public School,Top 15%,REJECT
White,Female,3.8,32,$40000,Rural,Private School,Top 5%,ADMIT
White,Female,3.8,32,$40000,Rural,Private School,Top 15%,REJECT
White,Female,3.8,32,$160000,Urban,Public School,Top 5%,ADMIT
White,Female,3.8,32,$160000,Urban,Public School,Top 15%,REJECT
White,Female,3.8,32,$160000,Urban,Private School,Top 5%,ADMIT
White,Female,3.8,32,$160000,Urban,Private School,Top 15%,REJECT
White,Female,3.8,32,$160000,Rural,Public School,Top 5%,ADMIT
White,Female,3.8,32,$160000,Rural,Public School,Top 15%,REJECT
White,Female,3.8,32,$160000,Rural,Private School,Top 5%,ADMIT
White,Female,3.8,32,$160000,Rural,Private School,Top 15%,REJECT
White,Female,3.8,36,$40000,Urban,Public School,Top 5%,ADMIT
White,Female,3.8,36,$40000,Urban,Public School,Top 15%,ADMIT
White,Female,3.8,36,$40000,Urban,Private School,Top 5%,ADMIT
White,Female,3.8,36,$40000,Urban,Private School,Top 15%,ADMIT
White,Female,3.8,36,$40000,Rural,Public School,Top 5%,ADMIT
White,Female,3.8,36,$40000,Rural,Public School,Top 15%,ADMIT
White,Female,3.8,36,$40000,Rural,Private School,Top 5%,ADMIT
White,Female,3.8,36,$40000,Rural,Private School,Top 15%,ADMIT
White,Female,3.8,36,$160000,Urban,Public School,Top 5%,ADMIT
White,Female,3.8,36,$160000,Urban,Public School,Top 15%,ADMIT
White,Female,3.8,36,$160000,Urban,Private School,Top 5%,ADMIT
White,Female,3.8,36,$160000,Urban,Private School,Top 15%,ADMIT
White,Female,3.8,36,$160000,Rural,Public School,Top 5%,ADMIT
White,Female,3.8,36,$160000,Rural,Public School,Top 15%,ADMIT
White,Female,3.8,36,$160000,Rural,Private School,Top 5%,ADMIT
White,Female,3.8,36,$160000,Rural,Private School,Top 15%,ADMIT
Black,Male,3.4,32,$40000,Urban,Public School,Top 5%,ADMIT
Black,Male,3.4,32,$40000,Urban,Public School,Top 15%,ADMIT
Black,Male,3.4,32,$40000,Urban,Private School,Top 5%,ADMIT
Black,Male,3.4,32,$40000,Urban,Private School,Top 15%,ADMIT
Black,Male,3.4,32,$40000,Rural,Public School,Top 5%,ADMIT
Black,Male,3.4,32,$40000,Rural,Public School,Top 15%,ADMIT
Black,Male,3.4,32,$40000,Rural,Private School,Top 5%,ADMIT
Black,Male,3.4,32,$40000,Rural,Private School,Top 15%,ADMIT
Black,Male,3.4,32,$160000,Urban,Public School,Top 5%,ADMIT
Black,Male,3.4,32,$160000,Urban,Public School,Top 15%,REJECT
Black,Male,3.4,32,$160000,Urban,Private School,Top 5%,ADMIT
Black,Male,3.4,32,$160000,Urban,Private School,Top 15%,REJECT
Black,Male,3.4,32,$160000,Rural,Public School,Top 5%,ADMIT
Black,Male,3.4,32,$160000,Rural,Public School,Top 15%,ADMIT
Black,Male,3.4,32,$160000,Rural,Private School,Top 5%,ADMIT
Black,Male,3.4,32,$160000,Rural,Private School,Top 15%,ADMIT
Black,Male,3.4,36,$40000,Urban,Public School,Top 5%,ADMIT
Black,Male,3.4,36,$40000,Urban,Public School,Top 15%,ADMIT
Black,Male,3.4,36,$40000,Urban,Private School,Top 5%,ADMIT
Black,Male,3.4,36,$40000,Urban,Private School,Top 15%,ADMIT
Black,Male,3.4,36,$40000,Rural,Public School,Top 5%,ADMIT
Black,Male,3.4,36,$40000,Rural,Public School,Top 15%,ADMIT
Black,Male,3.4,36,$40000,Rural,Private School,Top 5%,ADMIT
Black,Male,3.4,36,$40000,Rural,Private School,Top 15%,ADMIT
Black,Male,3.4,36,$160000,Urban,Public School,Top 5%,ADMIT
Black,Male,3.4,36,$160000,Urban,Public School,Top 15%,ADMIT
Black,Male,3.4,36,$160000,Urban,Private School,Top 5%,ADMIT
Black,Male,3.4,36,$160000,Urban,Private School,Top 15%,ADMIT
Black,Male,3.4,36,$160000,Rural,Public School,Top 5%,ADMIT
Black,Male,3.4,36,$160000,Rural,Public School,Top 15%,ADMIT
Black,Male,3.4,36,$160000,Rural,Private School,Top 5%,ADMIT
Black,Male,3.4,36,$160000,Rural,Private School,Top 15%,ADMIT
Black,Male,3.8,32,$40000,Urban,Public School,Top 5%,ADMIT
Black,Male,3.8,32,$40000,Urban,Public School,Top 15%,ADMIT
Black,Male,3.8,32,$40000,Urban,Private School,Top 5%,ADMIT
Black,Male,3.8,32,$40000,Urban,Private School,Top 15%,ADMIT
Black,Male,3.8,32,$40000,Rural,Public School,Top 5%,ADMIT
Black,Male,3.8,32,$40000,Rural,Public School,Top 15%,ADMIT
Black,Male,3.8,32,$40000,Rural,Private School,Top 5%,ADMIT
Black,Male,3.8,32,$40000,Rural,Private School,Top 15%,ADMIT
Black,Male,3.8,32,$160000,Urban,Public School,Top 5%,ADMIT
Black,Male,3.8,32,$160000,Urban,Public School,Top 15%,ADMIT
Black,Male,3.8,32,$160000,Urban,Private School,Top 5%,ADMIT
Black,Male,3.8,32,$160000,Urban,Private School,Top 15%,ADMIT
Black,Male,3.8,32,$160000,Rural,Public School,Top 5%,ADMIT
Black,Male,3.8,32,$160000,Rural,Public School,Top 15%,ADMIT
Black,Male,3.8,32,$160000,Rural,Private School,Top 5%,ADMIT
Black,Male,3.8,32,$160000,Rural,Private School,Top 15%,ADMIT
Black,Male,3.8,36,$40000,Urban,Public School,Top 5%,ADMIT
Black,Male,3.8,36,$40000,Urban,Public School,Top 15%,ADMIT
Black,Male,3.8,36,$40000,Urban,Private School,Top 5%,ADMIT
Black,Male,3.8,36,$40000,Urban,Private School,Top 15%,ADMIT
Black,Male,3.8,36,$40000,Rural,Public School,Top 5%,ADMIT
Black,Male,3.8,36,$40000,Rural,Public School,Top 15%,ADMIT
Black,Male,3.8,36,$40000,Rural,Private School,Top 5%,ADMIT
Black,Male,3.8,36,$40000,Rural,Private School,Top 15%,ADMIT
Black,Male,3.8,36,$160000,Urban,Public School,Top 5%,ADMIT
Black,Male,3.8,36,$160000,Urban,Public School,Top 15%,ADMIT
Black,Male,3.8,36,$160000,Urban,Private School,Top 5%,ADMIT
Black,Male,3.8,36,$160000,Urban,Private School,Top 15%,ADMIT
Black,Male,3.8,36,$160000,Rural,Public School,Top 5%,ADMIT
Black,Male,3.8,36,$160000,Rural,Public School,Top 15%,ADMIT
Black,Male,3.8,36,$160000,Rural,Private School,Top 5%,ADMIT
Black,Male,3.8,36,$160000,Rural,Private School,Top 15%,ADMIT
Black,Female,3.4,32,$40000,Urban,Public School,Top 5%,ADMIT
Black,Female,3.4,32,$40000,Urban,Public School,Top 15%,ADMIT
Black,Female,3.4,32,$40000,Urban,Private School,Top 5%,ADMIT
Black,Female,3.4,32,$40000,Urban,Private School,Top 15%,ADMIT
Black,Female,3.4,32,$40000,Rural,Public School,Top 5%,ADMIT
Black,Female,3.4,32,$40000,Rural,Public School,Top 15%,ADMIT
Black,Female,3.4,32,$40000,Rural,Private School,Top 5%,ADMIT
Black,Female,3.4,32,$40000,Rural,Private School,Top 15%,ADMIT
Black,Female,3.4,32,$160000,Urban,Public School,Top 5%,ADMIT
Black,Female,3.4,32,$160000,Urban,Public School,Top 15%,ADMIT
Black,Female,3.4,32,$160000,Urban,Private School,Top 5%,ADMIT
Black,Female,3.4,32,$160000,Urban,Private School,Top 15%,REJECT
Black,Female,3.4,32,$160000,Rural,Public School,Top 5%,ADMIT
Black,Female,3.4,32,$160000,Rural,Public School,Top 15%,ADMIT
Black,Female,3.4,32,$160000,Rural,Private School,Top 5%,ADMIT
Black,Female,3.4,32,$160000,Rural,Private School,Top 15%,ADMIT
Black,Female,3.4,36,$40000,Urban,Public School,Top 5%,ADMIT
Black,Female,3.4,36,$40000,Urban,Public School,Top 15%,ADMIT
Black,Female,3.4,36,$40000,Urban,Private School,Top 5%,ADMIT
Black,Female,3.4,36,$40000,Urban,Private School,Top 15%,ADMIT
Black,Female,3.4,36,$40000,Rural,Public School,Top 5%,ADMIT
Black,Female,3.4,36,$40000,Rural,Public School,Top 15%,ADMIT
Black,Female,3.4,36,$40000,Rural,Private School,Top 5%,ADMIT
Black,Female,3.4,36,$40000,Rural,Private School,Top 15%,ADMIT
Black,Female,3.4,36,$160000,Urban,Public School,Top 5%,ADMIT
Black,Female,3.4,36,$160000,Urban,Public School,Top 15%,ADMIT
Black,Female,3.4,36,$160000,Urban,Private School,Top 5%,ADMIT
Black,Female,3.4,36,$160000,Urban,Private School,Top 15%,ADMIT
Black,Female,3.4,36,$160000,Rural,Public School,Top 5%,ADMIT
Black,Female,3.4,36,$160000,Rural,Public School,Top 15%,ADMIT
Black,Female,3.4,36,$160000,Rural,Private School,Top 5%,ADMIT
Black,Female,3.4,36,$160000,Rural,Private School,Top 15%,ADMIT
Black,Female,3.8,32,$40000,Urban,Public School,Top 5%,ADMIT
Black,Female,3.8,32,$40000,Urban,Public School,Top 15%,ADMIT
Black,Female,3.8,32,$40000,Urban,Private School,Top 5%,ADMIT
Black,Female,3.8,32,$40000,Urban,Private School,Top 15%,ADMIT
Black,Female,3.8,32,$40000,Rural,Public School,Top 5%,ADMIT
Black,Female,3.8,32,$40000,Rural,Public School,Top 15%,ADMIT
Black,Female,3.8,32,$40000,Rural,Private School,Top 5%,ADMIT
Black,Female,3.8,32,$40000,Rural,Private School,Top 15%,ADMIT
Black,Female,3.8,32,$160000,Urban,Public School,Top 5%,ADMIT
Black,Female,3.8,32,$160000,Urban,Public School,Top 15%,ADMIT
Black,Female,3.8,32,$160000,Urban,Private School,Top 5%,ADMIT
Black,Female,3.8,32,$160000,Urban,Private School,Top 15%,ADMIT
Black,Female,3.8,32,$160000,Rural,Public School,Top 5%,ADMIT
Black,Female,3.8,32,$160000,Rural,Public School,Top 15%,ADMIT
Black,Female,3.8,32,$160000,Rural,Private School,Top 5%,ADMIT
Black,Female,3.8,32,$160000,Rural,Private School,Top 15%,ADMIT
Black,Female,3.8,36,$40000,Urban,Public School,Top 5%,ADMIT
Black,Female,3.8,36,$40000,Urban,Public School,Top 15%,ADMIT
Black,Female,3.8,36,$40000,Urban,Private School,Top 5%,ADMIT
Black,Female,3.8,36,$40000,Urban,Private School,Top 15%,ADMIT
Black,Female,3.8,36,$40000,Rural,Public School,Top 5%,ADMIT
Black,Female,3.8,36,$40000,Rural,Public School,Top 15%,ADMIT
Black,Female,3.8,36,$40000,Rural,Private School,Top 5%,ADMIT
Black,Female,3.8,36,$40000,Rural,Private School,Top 15%,ADMIT
Black,Female,3.8,36,$160000,Urban,Public School,Top 5%,ADMIT
Black,Female,3.8,36,$160000,Urban,Public School,Top 15%,ADMIT
Black,Female,3.8,36,$160000,Urban,Private School,Top 5%,ADMIT
Black,Female,3.8,36,$160000,Urban,Private School,Top 15%,ADMIT
Black,Female,3.8,36,$160000,Rural,Public School,Top 5%,ADMIT
Black,Female,3.8,36,$160000,Rural,Public School,Top 15%,ADMIT
Black,Female,3.8,36,$160000,Rural,Private School,Top 5%,ADMIT
Black,Female,3.8,36,$160000,Rural,Private School,Top 15%,ADMIT
Asian,Male,3.4,32,$40000,Urban,Public School,Top 5%,REJECT
Asian,Male,3.4,32,$40000,Urban,Public School,Top 15%,REJECT
Asian,Male,3.4,32,$40000,Urban,Private School,Top 5%,REJECT
Asian,Male,3.4,32,$40000,Urban,Private School,Top 15%,REJECT
Asian,Male,3.4,32,$40000,Rural,Public School,Top 5%,ADMIT
Asian,Male,3.4,32,$40000,Rural,Public School,Top 15%,REJECT
Asian,Male,3.4,32,$40000,Rural,Private School,Top 5%,REJECT
Asian,Male,3.4,32,$40000,Rural,Private School,Top 15%,REJECT
Asian,Male,3.4,32,$160000,Urban,Public School,Top 5%,REJECT
Asian,Male,3.4,32,$160000,Urban,Public School,Top 15%,REJECT
Asian,Male,3.4,32,$160000,Urban,Private School,Top 5%,REJECT
Asian,Male,3.4,32,$160000,Urban,Private School,Top 15%,REJECT
Asian,Male,3.4,32,$160000,Rural,Public School,Top 5%,REJECT
Asian,Male,3.4,32,$160000,Rural,Public School,Top 15%,REJECT
Asian,Male,3.4,32,$160000,Rural,Private School,Top 5%,REJECT
Asian,Male,3.4,32,$160000,Rural,Private School,Top 15%,REJECT
Asian,Male,3.4,36,$40000,Urban,Public School,Top 5%,ADMIT
Asian,Male,3.4,36,$40000,Urban,Public School,Top 15%,ADMIT
Asian,Male,3.4,36,$40000,Urban,Private School,Top 5%,ADMIT
Asian,Male,3.4,36,$40000,Urban,Private School,Top 15%,ADMIT
Asian,Male,3.4,36,$40000,Rural,Public School,Top 5%,ADMIT
Asian,Male,3.4,36,$40000,Rural,Public School,Top 15%,ADMIT
Asian,Male,3.4,36,$40000,Rural,Private School,Top 5%,ADMIT
Asian,Male,3.4,36,$40000,Rural,Private School,Top 15%,ADMIT
Asian,Male,3.4,36,$160000,Urban,Public School,Top 5%,ADMIT
Asian,Male,3.4,36,$160000,Urban,Public School,Top 15%,ADMIT
Asian,Male,3.4,36,$160000,Urban,Private School,Top 5%,ADMIT
Asian,Male,3.4,36,$160000,Urban,Private School,Top 15%,REJECT
Asian,Male,3.4,36,$160000,Rural,Public School,Top 5%,ADMIT
Asian,Male,3.4,36,$160000,Rural,Public School,Top 15%,ADMIT
Asian,Male,3.4,36,$160000,Rural,Private School,Top 5%,ADMIT
Asian,Male,3.4,36,$160000,Rural,Private School,Top 15%,ADMIT
Asian,Male,3.8,32,$40000,Urban,Public School,Top 5%,REJECT
Asian,Male,3.8,32,$40000,Urban,Public School,Top 15%,REJECT
Asian,Male,3.8,32,$40000,Urban,Private School,Top 5%,ADMIT
Asian,Male,3.8,32,$40000,Urban,Private School,Top 15%,REJECT
Asian,Male,3.8,32,$40000,Rural,Public School,Top 5%,ADMIT
Asian,Male,3.8,32,$40000,Rural,Public School,Top 15%,REJECT
Asian,Male,3.8,32,$40000,Rural,Private School,Top 5%,ADMIT
Asian,Male,3.8,32,$40000,Rural,Private School,Top 15%,REJECT
Asian,Male,3.8,32,$160000,Urban,Public School,Top 5%,ADMIT
Asian,Male,3.8,32,$160000,Urban,Public School,Top 15%,REJECT
Asian,Male,3.8,32,$160000,Urban,Private School,Top 5%,ADMIT
